Entity type:	all
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41	52.46199	0	1.0281551	346.91667	12			0.35958122	0.32533733	0.15244245	0
BC2GM	9.0985765	3.6840377	4.1273397	38	87.420019	0	1	22364	1			0.25321183	0.17795997	0.04569844	0
BC5CDR	8.936437	3.6306134	3.6248526	48	106.30862	6.884	1.0176918	2.4718875	2	4.4085322	4.1432943	0.41873234	0.31460674	0.19866552	0.35850026
BioID	2.7983445	2.0137087	2.0137087	19	143.02712	5.159816	1.3540329	1.4817214	8	1.121516	0.95287034	0.25174942	0.19891333	0.13282504	0.14177102
BioRED	8.0119674	3.664348	3.9536047	51	125.72799	11.715	1.05863	1.7851198	6	4.7118301	4.5674613	0.2706265	0.15594463	0.06882591	0.10907452
CHEMDNER	6.7676532	3.3931164	3.3438838	4	41.037842	0	1	19803	1			0.38358707	0.2614693	0.15021459	0
CRAFT	3.7418223	3.2037315	2.9988352	6	152.20887	149.35052	1.0205709	2.3283027	11	3.2101402	2.6825766	0.34182785	0.29267034	0.15544041	0.24578313
CellLink	6.7947654	3.5820846	3.6503491	6	77.773828	4.0908637	1.065367	3.736551	3	2.8855856	2.886074	0.33743784	0.27899379	0.09131307	0.40633737
JNLPBA	6.7541537	3.056553	3.7112801	23	105.56715	0	1.020454	4450.2	5			0.35854342	0.27547538	0.06649851	0
Linnaeus	5.0476288	3.6474887	3.6286214	58	6.2469393	4.73	1.0132626	1.639485	1						
MedMentions	10.524343	4.0553945	4.2045568	6	183.01174	22.448998	1.1260406	2.9213974	15			0.32963798	0.2749373	0.10913019	0.22012664
NCBI-Disease	5.0253089	3.272444	2.5179797	25	42.028011	3.1702396	1.0135768	2.750953	1	4.0615667	3.6232546	0.28182317	0.218	0.08964451	0.19632768
NLM-Chem	4.9646995	3.3269423	3.5914521	14	47.842994	34.066667	1.0238585	2.4153324	1	2.9130038	3.0099223	0.33162521	0.20498695	0.11033394	0.23784104
NLM-Gene	6.3533468	3.2725862	3.6588469	17	104.41047	11.701818	1.283692	1.6850842	4			0.26468951	0.16490798	0.0788977	0.10779392
S1000	5.0504357	3.458114	2.8586136	45	28.914856	2.293	1.0077549	1.6533079	3			0.28156463	0.10354553	0.05324173	0.06985294
tmVar	7.7763334	3.1999731	3.7201605	10	10.574973	1.83	1.0021436	1.0734788	1			0.322663	0.04026217	0.00643087	0.0195178
