Metric:	mention_overlap_by_frequency
Split pair	Entity scope	Bin	Union count	Intersection count	Jaccard	Union share	Intersection share	Contribution to Overall Jaccard	Article topic distribution entropy
(AnatEM_train, AnatEM_test)	anatomy	Overall	1576	268	0.17005076	1	1	0.17005076	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(1, 2)	936	0	0	0.59390863	0	0	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(2, 4)	368	73	0.19836957	0.23350254	0.27238806	0.046319797	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(4, 8)	156	83	0.53205128	0.098984772	0.30970149	0.052664975	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(8, 16)	75	73	0.97333333	0.047588832	0.27238806	0.046319797	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(16, 32)	24	22	0.91666667	0.015228426	0.082089552	0.013959391	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(32, 64)	13	13	1	0.008248731	0.048507463	0.008248731	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(64, 128)	4	4	1	0.0025380711	0.014925373	0.0025380711	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(128, 256)	0	0	0	0	0	0	3.9826345
(AnatEM_train, AnatEM_test)	anatomy	(256, None)	0	0	0	0	0	0	3.9826345
(AnatEM_train, AnatEM_test)	cell	Overall	1194	155	0.12981575	1	1	0.12981575	3.9826345
(AnatEM_train, AnatEM_test)	cell	(1, 2)	769	0	0	0.6440536	0	0	3.9826345
(AnatEM_train, AnatEM_test)	cell	(2, 4)	273	59	0.21611722	0.22864322	0.38064516	0.049413735	3.9826345
(AnatEM_train, AnatEM_test)	cell	(4, 8)	87	47	0.54022989	0.072864322	0.30322581	0.039363484	3.9826345
(AnatEM_train, AnatEM_test)	cell	(8, 16)	39	28	0.71794872	0.032663317	0.18064516	0.023450586	3.9826345
(AnatEM_train, AnatEM_test)	cell	(16, 32)	12	10	0.83333333	0.010050251	0.064516129	0.0083752094	3.9826345
(AnatEM_train, AnatEM_test)	cell	(32, 64)	9	6	0.66666667	0.0075376884	0.038709677	0.0050251256	3.9826345
(AnatEM_train, AnatEM_test)	cell	(64, 128)	3	3	1	0.0025125628	0.019354839	0.0025125628	3.9826345
(AnatEM_train, AnatEM_test)	cell	(128, 256)	0	0	0	0	0	0	3.9826345
(AnatEM_train, AnatEM_test)	cell	(256, None)	2	2	1	0.0016750419	0.012903226	0.0016750419	3.9826345
(AnatEM_train, AnatEM_test)	disease	Overall	839	121	0.14421931	1	1	0.14421931	3.9826345
(AnatEM_train, AnatEM_test)	disease	(1, 2)	518	0	0	0.61740167	0	0	3.9826345
(AnatEM_train, AnatEM_test)	disease	(2, 4)	199	43	0.2160804	0.23718713	0.3553719	0.05125149	3.9826345
(AnatEM_train, AnatEM_test)	disease	(4, 8)	72	32	0.44444444	0.085816448	0.26446281	0.038140644	3.9826345
(AnatEM_train, AnatEM_test)	disease	(8, 16)	26	22	0.84615385	0.030989273	0.18181818	0.026221692	3.9826345
(AnatEM_train, AnatEM_test)	disease	(16, 32)	14	14	1	0.016686532	0.11570248	0.016686532	3.9826345
(AnatEM_train, AnatEM_test)	disease	(32, 64)	7	7	1	0.0083432658	0.05785124	0.0083432658	3.9826345
(AnatEM_train, AnatEM_test)	disease	(64, 128)	0	0	0	0	0	0	3.9826345
(AnatEM_train, AnatEM_test)	disease	(128, 256)	2	2	1	0.0023837902	0.016528926	0.0023837902	3.9826345
(AnatEM_train, AnatEM_test)	disease	(256, None)	1	1	1	0.0011918951	0.0082644628	0.0011918951	3.9826345
(BC2GM_train, BC2GM_test)	gene_protein_sequence	Overall	22364	1022	0.045698444	1	1	0.045698444	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(1, 2)	18904	0	0	0.84528707	0	0	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(2, 4)	2491	456	0.18305901	0.11138437	0.44618395	0.020389912	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(4, 8)	659	308	0.46737481	0.029467001	0.30136986	0.013772134	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(8, 16)	206	156	0.75728155	0.0092112323	0.15264188	0.0069754963	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(16, 32)	80	78	0.975	0.0035771776	0.076320939	0.0034877482	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(32, 64)	19	19	1	0.00084957968	0.018590998	0.00084957968	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(64, 128)	5	5	1	0.0002235736	0.0048923679	0.0002235736	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(128, 256)	0	0	0	0	0	0	3.6840377
(BC2GM_train, BC2GM_test)	gene_protein_sequence	(256, None)	0	0	0	0	0	0	3.6840377
(BC5CDR_train, BC5CDR_test)	chemical	Overall	2039	417	0.20451202	1	1	0.20451202	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(1, 2)	801	0	0	0.39283963	0	0	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(2, 4)	518	66	0.12741313	0.2540461	0.15827338	0.032368808	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(4, 8)	366	111	0.30327869	0.17949975	0.26618705	0.05443845	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(8, 16)	222	114	0.51351351	0.1088769	0.27338129	0.05590976	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(16, 32)	80	74	0.925	0.039234919	0.17745803	0.0362923	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(32, 64)	40	40	1	0.01961746	0.095923261	0.01961746	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(64, 128)	11	11	1	0.0053948014	0.026378897	0.0053948014	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(128, 256)	1	1	1	0.00049043649	0.0023980815	0.00049043649	3.6306134
(BC5CDR_train, BC5CDR_test)	chemical	(256, None)	0	0	0	0	0	0	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	Overall	2613	501	0.19173364	1	1	0.19173364	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(1, 2)	1477	0	0	0.56525067	0	0	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(2, 4)	626	164	0.26198083	0.23957137	0.32734531	0.062763108	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(4, 8)	294	143	0.48639456	0.11251435	0.28542914	0.054726368	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(8, 16)	123	103	0.83739837	0.047072331	0.20558882	0.039418293	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(16, 32)	62	60	0.96774194	0.023727516	0.11976048	0.022962113	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(32, 64)	22	22	1	0.0084194413	0.043912176	0.0084194413	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(64, 128)	7	7	1	0.0026789131	0.013972056	0.0026789131	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(128, 256)	2	2	1	0.00076540375	0.003992016	0.00076540375	3.6306134
(BC5CDR_train, BC5CDR_test)	disease	(256, None)	0	0	0	0	0	0	3.6306134
(BioID_train, BioID_dev)	anatomy	Overall	1050	150	0.14285714	1	1	0.14285714	2.0137087
(BioID_train, BioID_dev)	anatomy	(1, 2)	487	0	0	0.46380952	0	0	2.0137087
(BioID_train, BioID_dev)	anatomy	(2, 4)	247	26	0.10526316	0.2352381	0.17333333	0.024761905	2.0137087
(BioID_train, BioID_dev)	anatomy	(4, 8)	143	31	0.21678322	0.13619048	0.20666667	0.02952381	2.0137087
(BioID_train, BioID_dev)	anatomy	(8, 16)	86	33	0.38372093	0.081904762	0.22	0.031428571	2.0137087
(BioID_train, BioID_dev)	anatomy	(16, 32)	50	29	0.58	0.047619048	0.19333333	0.027619048	2.0137087
(BioID_train, BioID_dev)	anatomy	(32, 64)	23	17	0.73913043	0.021904762	0.11333333	0.016190476	2.0137087
(BioID_train, BioID_dev)	anatomy	(64, 128)	9	9	1	0.0085714286	0.06	0.0085714286	2.0137087
(BioID_train, BioID_dev)	anatomy	(128, 256)	4	4	1	0.0038095238	0.026666667	0.0038095238	2.0137087
(BioID_train, BioID_dev)	anatomy	(256, None)	1	1	1	0.00095238095	0.0066666667	0.00095238095	2.0137087
(BioID_train, BioID_dev)	cell	Overall	1025	138	0.13463415	1	1	0.13463415	2.0137087
(BioID_train, BioID_dev)	cell	(1, 2)	367	0	0	0.35804878	0	0	2.0137087
(BioID_train, BioID_dev)	cell	(2, 4)	232	19	0.081896552	0.22634146	0.13768116	0.018536585	2.0137087
(BioID_train, BioID_dev)	cell	(4, 8)	156	23	0.1474359	0.15219512	0.16666667	0.022439024	2.0137087
(BioID_train, BioID_dev)	cell	(8, 16)	121	25	0.20661157	0.11804878	0.18115942	0.024390244	2.0137087
(BioID_train, BioID_dev)	cell	(16, 32)	86	27	0.31395349	0.083902439	0.19565217	0.026341463	2.0137087
(BioID_train, BioID_dev)	cell	(32, 64)	45	26	0.57777778	0.043902439	0.1884058	0.025365854	2.0137087
(BioID_train, BioID_dev)	cell	(64, 128)	8	8	1	0.007804878	0.057971014	0.007804878	2.0137087
(BioID_train, BioID_dev)	cell	(128, 256)	8	8	1	0.007804878	0.057971014	0.007804878	2.0137087
(BioID_train, BioID_dev)	cell	(256, None)	2	2	1	0.0019512195	0.014492754	0.0019512195	2.0137087
(BioID_train, BioID_dev)	chemical	Overall	1629	247	0.15162676	1	1	0.15162676	2.0137087
(BioID_train, BioID_dev)	chemical	(1, 2)	609	0	0	0.37384899	0	0	2.0137087
(BioID_train, BioID_dev)	chemical	(2, 4)	442	45	0.10180995	0.27133211	0.18218623	0.027624309	2.0137087
(BioID_train, BioID_dev)	chemical	(4, 8)	250	51	0.204	0.15346839	0.20647773	0.031307551	2.0137087
(BioID_train, BioID_dev)	chemical	(8, 16)	157	54	0.34394904	0.096378146	0.21862348	0.033149171	2.0137087
(BioID_train, BioID_dev)	chemical	(16, 32)	107	51	0.47663551	0.065684469	0.20647773	0.031307551	2.0137087
(BioID_train, BioID_dev)	chemical	(32, 64)	46	29	0.63043478	0.028238183	0.11740891	0.017802333	2.0137087
(BioID_train, BioID_dev)	chemical	(64, 128)	11	10	0.90909091	0.006752609	0.04048583	0.0061387354	2.0137087
(BioID_train, BioID_dev)	chemical	(128, 256)	5	5	1	0.0030693677	0.020242915	0.0030693677	2.0137087
(BioID_train, BioID_dev)	chemical	(256, None)	2	2	1	0.0012277471	0.008097166	0.0012277471	2.0137087
(BioID_train, BioID_dev)	function_process	Overall	949	160	0.16859852	1	1	0.16859852	2.0137087
(BioID_train, BioID_dev)	function_process	(1, 2)	383	0	0	0.40358272	0	0	2.0137087
(BioID_train, BioID_dev)	function_process	(2, 4)	252	33	0.13095238	0.26554268	0.20625	0.034773446	2.0137087
(BioID_train, BioID_dev)	function_process	(4, 8)	150	41	0.27333333	0.15806112	0.25625	0.043203372	2.0137087
(BioID_train, BioID_dev)	function_process	(8, 16)	84	28	0.33333333	0.088514226	0.175	0.029504742	2.0137087
(BioID_train, BioID_dev)	function_process	(16, 32)	42	24	0.57142857	0.044257113	0.15	0.025289779	2.0137087
(BioID_train, BioID_dev)	function_process	(32, 64)	19	15	0.78947368	0.020021075	0.09375	0.015806112	2.0137087
(BioID_train, BioID_dev)	function_process	(64, 128)	10	10	1	0.010537408	0.0625	0.010537408	2.0137087
(BioID_train, BioID_dev)	function_process	(128, 256)	8	8	1	0.0084299262	0.05	0.0084299262	2.0137087
(BioID_train, BioID_dev)	function_process	(256, None)	1	1	1	0.0010537408	0.00625	0.0010537408	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	Overall	5111	541	0.10585013	1	1	0.10585013	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(1, 2)	1600	0	0	0.31305028	0	0	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(2, 4)	1257	46	0.036595068	0.24594013	0.085027726	0.0090001957	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(4, 8)	874	106	0.12128146	0.17100372	0.19593346	0.020739581	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(8, 16)	565	108	0.19115044	0.11054588	0.19963031	0.021130894	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(16, 32)	433	119	0.27482679	0.084719233	0.21996303	0.023283115	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(32, 64)	253	80	0.31620553	0.049501076	0.14787431	0.015652514	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(64, 128)	86	42	0.48837209	0.016826453	0.077634011	0.0082175699	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(128, 256)	30	27	0.9	0.0058696928	0.049907579	0.0052827235	2.0137087
(BioID_train, BioID_dev)	gene_protein_sequence	(256, None)	13	13	1	0.0025435336	0.024029575	0.0025435336	2.0137087
(BioID_train, BioID_dev)	species	Overall	442	74	0.16742081	1	1	0.16742081	2.0137087
(BioID_train, BioID_dev)	species	(1, 2)	159	0	0	0.35972851	0	0	2.0137087
(BioID_train, BioID_dev)	species	(2, 4)	83	7	0.084337349	0.18778281	0.094594595	0.015837104	2.0137087
(BioID_train, BioID_dev)	species	(4, 8)	69	9	0.13043478	0.1561086	0.12162162	0.020361991	2.0137087
(BioID_train, BioID_dev)	species	(8, 16)	53	9	0.16981132	0.1199095	0.12162162	0.020361991	2.0137087
(BioID_train, BioID_dev)	species	(16, 32)	39	19	0.48717949	0.088235294	0.25675676	0.042986425	2.0137087
(BioID_train, BioID_dev)	species	(32, 64)	27	19	0.7037037	0.061085973	0.25675676	0.042986425	2.0137087
(BioID_train, BioID_dev)	species	(64, 128)	4	3	0.75	0.0090497738	0.040540541	0.0067873303	2.0137087
(BioID_train, BioID_dev)	species	(128, 256)	6	6	1	0.013574661	0.081081081	0.013574661	2.0137087
(BioID_train, BioID_dev)	species	(256, None)	2	2	1	0.0045248869	0.027027027	0.0045248869	2.0137087
(BioRED_train, BioRED_test)	chemical	Overall	988	108	0.10931174	1	1	0.10931174	3.664348
(BioRED_train, BioRED_test)	chemical	(1, 2)	435	0	0	0.4402834	0	0	3.664348
